,cluster_id,brain_region,grid_score,field_size,field_spacing,orientation,_smooth_sigma,travel,sig,null_grid_score,null_field_size,null_field_spacing,null_orientation,null__smooth_sigma,null__skip_shuffles,mouse,day,session_travel_lag,optimal_travel_lag,optimal_travel_lag_grid_score,session_travel_lag_grid_score,zero_lag_grid_score,spatial_information_score,spatial_information_score_no_lag,SC_x,SC_y,SC_z,probe_x,probe_y,theta_index,firing_rate,firing_rate_OF1,firing_rate_VR,classified_by,cell_type,grid_module
0,34,ENTm1,-0.37056780333808564,40.72894872332296,54.30526496443061,28.178438539892966,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,5.0,28.0,-0.37056780333808564,-0.26361208983579637,0.5666189736655125,0.545103275279475,-3150.0,3934.02795494892,4133.233124618243,32.0,420.0,0.1187072737775717,0.727573889628706,0.9815348308546847,0.5816414303463907,OF2,GC,
1,103,ENTm1,-0.14056024939477405,58.812343443274585,78.41645792436611,15.687386216021945,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,5.0,31.0,-0.14056024939477405,-0.10021200862948777,0.29450472093384317,0.2643689198397545,-3330.0,4166.694769775328,4229.148338675806,282.0,195.0,0.10803130722434086,5.560002800342683,4.700296003983419,5.677694187681762,OF2,GC,
2,400,ENTm3,-0.18606142181015015,36.45520722979485,48.6069429730598,15.708573954167408,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,18.0,-16.0,-0.18606142181015015,-0.5577343240855479,0.10999450956127325,0.10685981650664719,-3655.779116835892,3816.513778030836,4195.999003017884,750.0,540.0,0.02456405071951224,2.039704392006382,3.9054841291667466,0.4554825848909763,OF2,GC,
3,412,ENTm5,0.44089785019275196,22.39173281980144,29.85564375973526,25.110225410358197,1.5,2,True,,,,,,,20.0,14.0,1.8518518518518547,8.0,-7.0,0.44089785019275196,0.34800162697887693,0.04579619292514941,0.03790269093669886,-3655.888527868073,3741.751805780615,4201.968553627701,750.0,615.0,0.02994388898781938,6.536148728040781,6.9368404375891695,7.255498969156619,OF1,GC,
0,37,ENTm1,-0.716571604155507,26.094121784126713,34.79216237883561,10.002435601981746,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,1.0,-45.0,-0.716571604155507,-0.4946206136229941,0.5384191038357888,0.5053892533195886,-3150.0,3904.1881638642,4136.329391405877,32.0,450.0,0.10277451770597112,0.8920319773750909,0.400710768488655,1.472945481356071,OF1,NG,
1,57,ENTm1,-0.5597503959770143,52.82982663406577,70.43976884542101,25.496450077180686,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,26.0,-38.0,-0.5597503959770143,-0.20867066648403063,0.5692184458243049,0.6033050738031207,-3150.0,3754.9892084405938,4151.810725344047,32.0,600.0,0.2070614123536751,1.910352686887807,1.6284555148270907,0.9508335495146161,OF1,NG,
2,91,ENTm1,-0.37443385694675374,31.938346895216434,42.58446252695524,2.149323052310911,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,2.0,-27.0,-0.37443385694675374,-0.15741852453571314,0.03571124545686725,0.033661726468334846,-3330.0,4226.575816531273,4225.37206545842,250.0,135.0,0.053097810656467126,10.005083435619614,10.960472277877313,10.868775685749785,OF1,NG,
3,97,ENTm1,-0.6668200805837753,48.448026459961554,64.59736861328207,35.33551759022147,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,29.0,-44.0,-0.6668200805837753,,0.07439440098873627,0.06922946148742068,-3330.0,4196.6352931533,4227.260202067113,250.0,165.0,0.10170240488909338,9.788083580584628,9.022188849270334,10.933766606135906,OF1,NG,
4,102,ENTm1,-0.6773959795332953,32.38800562856335,43.184007504751136,9.838960570963044,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,23.0,-16.0,-0.6773959795332953,-0.6986276461547045,0.6801689191635587,0.7402335205848979,-3330.0,4166.694769775328,4229.148338675806,250.0,195.0,0.021363105293559805,0.6783307086272813,0.9418768578908591,0.3315083081880367,OF1,NG,
5,105,ENTm1,-0.34463643998899296,33.283503126591214,44.37800416878829,58.98403642811523,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,2.0,-40.0,-0.34463643998899296,-0.3647146189343342,0.3689058839588004,0.3606127416484468,-3330.0,4181.665031464314,4228.20427037146,250.0,180.0,0.1073319409265379,3.7210409452416298,3.4717250498749035,3.5903387446921804,OF1,NG,
6,108,ENTm1,-0.42313243191446004,26.44215096955829,35.256201292744386,37.480673416070566,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,-5.0,-34.0,-0.42313243191446004,0.038296397447679834,0.27404719089666507,0.2763729674260057,-3330.0,4136.754246397355,4231.0364752845,282.0,225.0,0.04657201378171147,1.0494216659346685,0.9352671957302215,1.092830518425472,OF1,NG,
7,110,ENTm1,-0.151143583000207,31.726972730866766,42.302630307822355,0.08778510918756355,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,19.0,-13.0,-0.151143583000207,-0.2507185583368897,0.5255421708202436,0.53058004846236,-3330.0,4151.724508086341,4230.092406980153,282.0,210.0,0.09502094812021177,2.7305226058636896,1.1095970352170383,5.015223713493808,OF1,NG,
8,111,ENTm1,-0.4234058211317556,36.62015073863011,48.82686765150682,57.94473800382785,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,26.0,-36.0,-0.4234058211317556,-0.15117882299751895,0.24303587481967265,0.234535877399583,-3330.0,4136.754246397355,4231.0364752845,250.0,225.0,0.148888709612983,2.9378623153433727,2.4711874403083858,3.3970044100981687,OF1,NG,
9,113,ENTm1,-0.45050881026191436,36.00930829296085,48.012411057281135,11.25486143867707,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,-6.0,45.0,-0.45050881026191436,-0.37591611853571305,0.1202162299169022,0.11895301300945067,-3330.0,4136.754246397355,4231.0364752845,282.0,225.0,0.11977041611688913,3.426759925764216,3.4832919586560194,3.5668546306030775,OF1,NG,
10,114,ENTm1,-0.4732524966126719,42.29895888052283,56.398611840697114,3.049684932720124,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,21.0,-10.0,-0.4732524966126719,-0.5899370047201711,0.1568648478019823,0.1385663567537371,-3330.0,4136.754246397355,4231.0364752845,250.0,225.0,0.13224577999541348,7.238983220515661,6.395674348186965,10.554743927581546,OF1,NG,
11,116,ENTm1,0.1187651597662576,28.172630181989263,37.563506909319024,54.932182742468214,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,42.0,-38.0,0.1187651597662576,-0.2211567045285597,0.15985588226523925,0.18847041383337124,-3330.0,4106.813723019383,4232.924611893193,250.0,255.0,0.14240431008886045,4.23844776571593,3.1230653709012697,5.32816318728581,OF2,NG,
12,120,ENTm1,-0.4403131492384011,50.371416433635275,67.16188857818037,34.08456974159995,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,26.0,-34.0,-0.4403131492384011,-0.5638016840167445,0.8938621131243542,0.8853322130092713,-3330.0,4121.78398470837,4231.980543588847,282.0,240.0,0.08177436575942393,0.5715978809064899,0.36105279552482933,0.9879712183066861,OF1,NG,
13,126,ENTm1,-0.3620912299074517,41.15622702349928,54.8749693646657,46.67636481543277,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,0.0,-40.0,-0.3620912299074517,-0.4155676447099935,0.4038805151997766,0.512848272179234,-3330.0,4076.873199641411,4234.812748501887,282.0,285.0,0.14011849677262,0.8599885677282308,0.9154382092483087,0.5117352302672,OF1,NG,
14,128,ENTm1,-0.18864522966862693,38.45248210125889,51.269976135011845,59.81364207917752,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,31.0,28.0,-0.18864522966862693,-0.24430024499397032,0.5208774895413492,0.5127707479084903,-3330.0,4091.843461330397,4233.86868019754,282.0,270.0,0.10816404297903688,2.0700985085096537,2.9883935043782786,0.5150120833959121,OF1,NG,
15,132,ENTm1,-0.5363087399634738,40.09479239557166,53.45972319409555,10.278682405920659,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,26.0,-30.0,-0.5363087399634738,-0.43265273530837955,0.0866929558548393,0.08406194875428936,-3330.0,4076.873199641411,4234.812748501887,250.0,285.0,0.14188126796802447,10.921619196842304,10.88611357857014,10.509960268155814,OF1,NG,
16,153,ENTm1,-0.3733120625132423,34.812598653894945,46.41679820519326,39.460991534741744,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,2.0,9.0,-0.3733120625132423,-0.3808769268479195,0.06856989423244059,0.06549272139216031,-3330.0,3987.0516295074935,4240.477158327968,282.0,375.0,0.06604833025145156,8.59211043817682,10.478793147920847,7.349435425513032,OF1,NG,
17,155,ENTm1,-0.46834976309804155,27.797606788571237,37.063475718094985,35.014212920810884,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,1.0,-25.0,-0.46834976309804155,-0.351286958641648,0.23974525952788775,0.22814187924854729,-3330.0,3957.1111061295214,4242.3652949366615,250.0,405.0,0.06445164028846449,5.232264691381047,2.2200202782041565,9.8720661924332,OF1,NG,
