mouse,day,target_cluster_id,target_shank_id,target_cell_type,cov_shank_id,n_ngs_cells,covariate_type,anchor_mode,prop_anchor_mode,pR2_cond,pR2_pos_cond,delta_pR2
26,13,255,2,NG,1,1,pos+ngs_shank,anchored,0.0647874389642969,0.0054098510016353,0.0039215020542199,0.0014883489474154
26,13,255,2,NG,1,1,pos+ngs_shank,non_anchored,0.935212561035703,0.0030353643300351,0.0031755212951437,-0.0001401569651086
26,13,255,2,NG,2,36,pos+ngs_shank,anchored,0.0647874389642969,0.0251546220380156,0.0039215020542199,0.0212331199837957
26,13,255,2,NG,2,36,pos+ngs_shank,non_anchored,0.935212561035703,0.0180926522300214,0.0031755212951437,0.0149171309348776
26,13,255,2,NG,3,43,pos+ngs_shank,anchored,0.0647874389642969,0.015826395847953,0.0039215020542199,0.0119048937937331
26,13,255,2,NG,3,43,pos+ngs_shank,non_anchored,0.935212561035703,0.0091616760821371,0.0031755212951437,0.0059861547869933
26,13,256,2,NG,1,1,pos+ngs_shank,anchored,0.5640258925771625,0.0926765972562215,0.0901541596360659,0.0025224376201555
26,13,256,2,NG,1,1,pos+ngs_shank,non_anchored,0.4359741074228374,0.0947851662104164,0.0937045142119243,0.001080651998492
26,13,256,2,NG,2,36,pos+ngs_shank,anchored,0.5640258925771625,0.1323895848703598,0.0901541596360659,0.0422354252342938
26,13,256,2,NG,2,36,pos+ngs_shank,non_anchored,0.4359741074228374,0.1317827002871393,0.0937045142119243,0.0380781860752149
26,13,256,2,NG,3,43,pos+ngs_shank,anchored,0.5640258925771625,0.1031519142235808,0.0901541596360659,0.0129977545875148
26,13,256,2,NG,3,43,pos+ngs_shank,non_anchored,0.4359741074228374,0.1064593584259406,0.0937045142119243,0.0127548442140162
26,13,260,2,NG,1,1,pos+ngs_shank,anchored,0.1402197285311114,0.0099501677580068,0.0110022444620628,-0.001052076704056
26,13,260,2,NG,1,1,pos+ngs_shank,non_anchored,0.8597802714688886,0.0046337939346966,0.0064701627422388,-0.0018363688075422
26,13,260,2,NG,2,36,pos+ngs_shank,anchored,0.1402197285311114,0.0190444759699334,0.0110022444620628,0.0080422315078705
26,13,260,2,NG,2,36,pos+ngs_shank,non_anchored,0.8597802714688886,0.0222175129150711,0.0064701627422388,0.0157473501728322
26,13,260,2,NG,3,43,pos+ngs_shank,anchored,0.1402197285311114,0.0173366476283778,0.0110022444620628,0.0063344031663149
26,13,260,2,NG,3,43,pos+ngs_shank,non_anchored,0.8597802714688886,0.0125074913530741,0.0064701627422388,0.0060373286108352
26,13,261,2,NG,1,1,pos+ngs_shank,anchored,0.0967835864355149,0.0085291689926239,0.0086125510923689,-8.338209974501076e-05
26,13,261,2,NG,1,1,pos+ngs_shank,non_anchored,0.903216413564485,0.0042109579817376,0.0025322050895942,0.0016787528921433
26,13,261,2,NG,2,36,pos+ngs_shank,anchored,0.0967835864355149,0.0471223706533124,0.0086125510923689,0.0385098195609435
