mouse,day,grid_module,target_cluster_id,cov_cluster_id,covariate_type,pR2_cv,euclidean_distance_um
20,16,1,108,,pos,0.0060142418462271,
20,16,1,108,252.0,pos+cell,0.0063893604270703,524.7817702090756
20,16,1,108,254.0,pos+cell,0.0061426862781375,503.5676320870001
20,16,1,108,258.0,pos+cell,0.0076230894328536,473.53145692616386
20,16,1,108,286.0,pos+cell,0.0052085229979285,697.0722322887324
20,16,1,108,290.0,pos+cell,0.0064308279687986,676.8936268412681
20,16,1,108,303.0,pos+cell,0.0058951249408221,638.8548756321595
20,16,1,108,323.0,pos+cell,0.0047169960874562,574.1399587559589
20,16,0,152,,pos,0.0030974199182127,
20,16,0,152,367.0,pos+cell,0.0005049826027245,331.080045687551
20,16,0,152,399.0,pos+cell,0.0018237252796234,401.60645424777294
20,16,1,252,,pos,0.0004970900527509,
20,16,1,252,108.0,pos+cell,0.0026387439005379,524.7817702090756
20,16,1,252,254.0,pos+cell,0.0013581755308787,30.000000000001155
20,16,1,252,258.0,pos+cell,0.0042660311738676,75.00000000000117
20,16,1,252,286.0,pos+cell,0.001183834634327,175.47267849618802
20,16,1,252,290.0,pos+cell,0.0014864810433472,160.62172614327602
20,16,1,252,303.0,pos+cell,0.0009931909508085,145.65951712978705
20,16,1,252,323.0,pos+cell,0.0005509652720404,183.44319821938632
20,16,1,254,,pos,0.0015961925489243,
20,16,1,254,108.0,pos+cell,0.0024543374283476,503.5676320870001
20,16,1,254,252.0,pos+cell,0.0021943034492209,30.000000000001155
20,16,1,254,258.0,pos+cell,0.0025485622655978,45.00000000000001
20,16,1,254,286.0,pos+cell,0.0013971167368207,193.87346511014456
20,16,1,254,290.0,pos+cell,0.0022506032248459,175.48756423095307
20,16,1,254,303.0,pos+cell,0.0016043881048129,150.37890361187291
20,16,1,254,323.0,pos+cell,0.0013970899473299,166.88221461588148
20,16,1,258,,pos,0.0014025823255126,
20,16,1,258,108.0,pos+cell,0.004643779358172,473.53145692616386
20,16,1,258,252.0,pos+cell,0.0052046097808587,75.00000000000117
20,16,1,258,254.0,pos+cell,0.002945644724879,45.00000000000001
20,16,1,258,286.0,pos+cell,0.0019558740278675,226.17760684160552
20,16,1,258,290.0,pos+cell,0.0020869893631676,204.1217887326427
20,16,1,258,303.0,pos+cell,0.0021207326301952,167.58428993508994
20,16,1,258,323.0,pos+cell,0.0013525438970997,150.07356005745186
20,16,1,286,,pos,-0.0053426923824381,
20,16,1,286,108.0,pos+cell,-0.0015452100440785,697.0722322887324
20,16,1,286,252.0,pos+cell,-0.0025757988011547,175.47267849618802
20,16,1,286,254.0,pos+cell,-0.0028579565432595,193.87346511014456
20,16,1,286,258.0,pos+cell,-0.0003990604752204,226.17760684160552
20,16,1,286,290.0,pos+cell,-0.0033293214382652,30.000000000000025
20,16,1,286,303.0,pos+cell,-0.0024354965803274,89.99999999999993
20,16,1,286,323.0,pos+cell,-0.0025103492993642,209.9999999999999
20,16,1,290,,pos,0.0049274153113299,
20,16,1,290,108.0,pos+cell,0.0053763014331159,676.8936268412681
20,16,1,290,252.0,pos+cell,0.004945529448876,160.62172614327602
20,16,1,290,254.0,pos+cell,0.0058002452715394,175.48756423095307
20,16,1,290,258.0,pos+cell,0.0052245259733759,204.1217887326427
20,16,1,290,286.0,pos+cell,0.0050717409169401,30.000000000000025
20,16,1,290,303.0,pos+cell,0.0058454233335078,59.99999999999991
20,16,1,290,323.0,pos+cell,0.004654648571933,179.99999999999986
20,16,1,303,,pos,0.0185853750606581,
20,16,1,303,108.0,pos+cell,0.0175534871671755,638.8548756321595
20,16,1,303,252.0,pos+cell,0.0175412347944404,145.65951712978705
20,16,1,303,254.0,pos+cell,0.0166912913025082,150.37890361187291
20,16,1,303,258.0,pos+cell,0.0177164826760282,167.58428993508994
20,16,1,303,286.0,pos+cell,0.0170379532259906,89.99999999999993
