mouse,day,target_cluster_id,target_cell_type,target_medlat,target_SC_x_abs,cov_region,n_ngs_cells,covariate_type,pR2_cv,same_region,brain_region
20,14,34,GC,medial,3150.0,,,pos,0.027396042592308,,ENTm1
20,14,34,GC,medial,3150.0,lateral,75.0,pos+ngs_lateral,0.0523867862772085,False,ENTm1
20,14,34,GC,medial,3150.0,medial,34.0,pos+ngs_medial,0.0579756987088087,True,ENTm1
20,14,103,GC,medial,3330.0,,,pos,0.0164713845676106,,ENTm1
20,14,103,GC,medial,3330.0,lateral,75.0,pos+ngs_lateral,0.0652429200767073,False,ENTm1
20,14,103,GC,medial,3330.0,medial,34.0,pos+ngs_medial,0.07014378861525,True,ENTm1
20,14,400,GC,lateral,3655.779116835892,,,pos,0.0250560086460419,,ENTm3
20,14,400,GC,lateral,3655.779116835892,lateral,75.0,pos+ngs_lateral,0.0851178184965289,True,ENTm3
20,14,400,GC,lateral,3655.779116835892,medial,34.0,pos+ngs_medial,0.066043858508501,False,ENTm3
20,14,412,GC,lateral,3655.888527868073,,,pos,0.0038014197323173,,ENTm5
20,14,412,GC,lateral,3655.888527868073,lateral,75.0,pos+ngs_lateral,0.0108845017539809,True,ENTm5
20,14,412,GC,lateral,3655.888527868073,medial,34.0,pos+ngs_medial,0.0059015912507656,False,ENTm5
20,15,86,GC,medial,3330.0,,,pos,-0.0002078165775923,,ENTm2
20,15,86,GC,medial,3330.0,lateral,25.0,pos+ngs_lateral,0.0079460739771135,False,ENTm2
20,15,86,GC,medial,3330.0,medial,25.0,pos+ngs_medial,0.0178189731505242,True,ENTm2
20,15,136,GC,medial,3330.0,,,pos,0.0118013617829704,,ENTm2
20,15,136,GC,medial,3330.0,lateral,25.0,pos+ngs_lateral,0.0150343842012614,False,ENTm2
20,15,136,GC,medial,3330.0,medial,25.0,pos+ngs_medial,0.0212205503168617,True,ENTm2
20,15,220,GC,lateral,3510.0,,,pos,-0.0020231989819565,,ENTm3
20,15,220,GC,lateral,3510.0,lateral,25.0,pos+ngs_lateral,0.0073172222235738,True,ENTm3
20,15,220,GC,lateral,3510.0,medial,25.0,pos+ngs_medial,0.0082990248920174,False,ENTm3
20,16,108,GC,medial,3150.0,,,pos,0.0060142418462271,,ENTm1
20,16,108,GC,medial,3150.0,lateral,101.0,pos+ngs_lateral,0.060256051329711,False,ENTm1
20,16,108,GC,medial,3150.0,medial,64.0,pos+ngs_medial,0.0856511396090464,True,ENTm1
20,16,152,GC,medial,3330.0,,,pos,0.0030974199182127,,ENTm1
20,16,152,GC,medial,3330.0,lateral,101.0,pos+ngs_lateral,0.0268737960726276,False,ENTm1
20,16,152,GC,medial,3330.0,medial,64.0,pos+ngs_medial,0.0374825114700266,True,ENTm1
20,16,252,GC,lateral,3510.0,,,pos,0.0004970900527509,,ENTm2
20,16,252,GC,lateral,3510.0,lateral,101.0,pos+ngs_lateral,0.0376016347486445,True,ENTm2
20,16,252,GC,lateral,3510.0,medial,64.0,pos+ngs_medial,0.0363779773990073,False,ENTm2
