covariate_type,term,coef,se,z,p,ci_low,ci_high
pos+ngs_shank,C(cov_shank_id)[T.1.0],0.014308438294655581,0.0012193520586616649,11.734460275861773,8.486595089492687e-32,0.011918552175203947,0.016698324414107214
pos+ngs_shank,C(cov_shank_id)[T.2.0],0.005739436621715691,0.0013029679659850042,4.404894649406711,1.0583529967180479e-05,0.0031856663353756723,0.00829320690805571
pos+ngs_shank,C(cov_shank_id)[T.3.0],-0.003788272839823277,0.0013037797057744737,-2.905608074005846,0.003665402439813042,-0.006343634106915474,-0.0012329115727310802
pos+ngs_shank,Group Var,,,1.1952839695564423,0.2319761007669483,,
pos+ngs_shank,Intercept,0.04094393161501451,0.007264707682575254,5.636005384390135,1.740399397386386e-08,0.02670536619895557,0.055182497031073446
pos+ngs_shank,mouse_day Var,,,1.9557470902827008,0.05049495446674305,,
pos+ngs_shank,mouse_day_cluster Var,,,23.529937627776675,2.0148323112693445e-122,,
pos+ngs_shank,n_ngs_cells,0.0001471453369797175,2.407562384587378e-05,6.111797472900629,9.851515853120288e-10,9.995798133647117e-05,0.0001943326926229638
pos,Group Var,,,,,,
pos,Intercept,0.015414817829825898,0.0035444995885714654,4.348940504755006,1.3679681441184807e-05,0.008467726293008786,0.02236190936664301
pos,mouse_day Var,,,,,,
pos,mouse_day_cluster Var,,,,,,
