mouse,day,target_cluster_id,target_shank_id,target_cell_type,cov_shank_id,n_ngs_cells,covariate_type,anchor_mode,prop_anchor_mode,pR2_cond,pR2_pos_cond,delta_pR2
20,18,351,2,NG,0,2,pos+ngs_shank,anchored,0.0456500995119823,0.0008357508442344,-0.004657079054557,0.0054928298987915
20,18,351,2,NG,0,2,pos+ngs_shank,non_anchored,0.9543499004880176,0.0031831143423262,-0.0019754352659135,0.0051585496082398
20,18,351,2,NG,1,33,pos+ngs_shank,anchored,0.0456500995119823,0.0313154760613751,-0.004657079054557,0.0359725551159322
20,18,351,2,NG,1,33,pos+ngs_shank,non_anchored,0.9543499004880176,0.0267746526994844,-0.0019754352659135,0.028750087965398
20,18,351,2,NG,2,46,pos+ngs_shank,anchored,0.0456500995119823,0.0148308740006183,-0.004657079054557,0.0194879530551753
20,18,351,2,NG,2,46,pos+ngs_shank,non_anchored,0.9543499004880176,0.0208456989991956,-0.0019754352659135,0.0228211342651092
20,18,351,2,NG,3,23,pos+ngs_shank,anchored,0.0456500995119823,0.0055664152779936,-0.004657079054557,0.0102234943325506
20,18,351,2,NG,3,23,pos+ngs_shank,non_anchored,0.9543499004880176,0.0025449075808441,-0.0019754352659135,0.0045203428467577
21,15,351,2,NG,0,75,pos+ngs_shank,anchored,0.36782292332046546,0.02711625912372806,0.005424352645406305,0.021691906478321754
21,15,351,2,NG,0,75,pos+ngs_shank,non_anchored,0.6321770766795345,0.03317998579031456,0.006635671135806098,0.02654431465450846
21,15,351,2,NG,1,70,pos+ngs_shank,anchored,0.36782292332046546,0.050703068767282033,0.005424352645406305,0.04527871612187573
21,15,351,2,NG,1,70,pos+ngs_shank,non_anchored,0.6321770766795345,0.054764721656683224,0.006635671135806098,0.048129050520877126
21,15,351,2,NG,2,47,pos+ngs_shank,anchored,0.36782292332046546,0.06484166204811048,0.005424352645406305,0.05941730940270418
21,15,351,2,NG,2,47,pos+ngs_shank,non_anchored,0.6321770766795345,0.06649938345692086,0.006635671135806098,0.05986371232111476
