session,mouse,day,target,target_shank,cov_shank,target_medrank,cov_medrank,drank_signed,drank_abs,dml_abs,dml_signed,is_same_shank,n_ent,n_par,pr2,pr2_anch,pr2_non,pr2_diff,mcc,acc,anch_recall,nonanch_recall,n_valid,obs_anch_frac
M25D25,25,25,69,1,0,1,0,-1,1,270.0,-270.0,False,0,16,0.12836127846269835,0.13496414338686402,0.12121965656962375,0.013744486817240276,0.14391174219890104,0.7425742574257426,0.9731543624161074,0.09433962264150944,202,0.7376237623762376
M25D25,25,25,69,1,1,1,1,0,0,0.0,0.0,True,8,8,0.2342873154284053,0.23056838741386954,0.24296923307687723,-0.012400845663007698,0.5731365112213279,0.8415841584158416,0.9194630872483222,0.6226415094339622,202,0.7376237623762376
M25D25,25,25,69,1,2,1,2,1,1,270.0,270.0,False,12,4,0.0834187078996987,0.08688213121955868,0.07085263010924758,0.016029501110311095,0.16766993632482186,0.7475247524752475,1.0,0.03773584905660377,202,0.7376237623762376
M25D25,25,25,69,1,3,1,3,2,2,450.0,450.0,False,11,0,0.02665756157316278,0.026498183323002356,0.014202266794339224,0.012295916528663131,0.30896795218490364,0.7722772277227723,0.959731543624161,0.24528301886792453,202,0.7376237623762376
M25D25,25,25,71,1,0,1,0,-1,1,270.0,-270.0,False,0,16,0.1990534735724397,0.18696804484538543,0.20415059154008275,-0.01718254669469732,0.31155084167304803,0.6534653465346535,0.6853932584269663,0.6283185840707964,202,0.4405940594059406
M25D25,25,25,71,1,1,1,1,0,0,0.0,0.0,True,8,8,0.14717453733180266,0.14742375313360623,0.1468931641367791,0.0005305889968271194,0.21002680431164755,0.5742574257425742,0.797752808988764,0.39823008849557523,202,0.4405940594059406
M25D25,25,25,71,1,2,1,2,1,1,270.0,270.0,False,12,4,0.07235722446131945,0.08272799836553069,0.06573010687006375,0.016997891495466932,0.2926396827836629,0.5693069306930693,0.9550561797752809,0.26548672566371684,202,0.4405940594059406
M25D25,25,25,71,1,3,1,3,2,2,450.0,450.0,False,11,0,0.03152102690326245,0.03359736362142207,0.03269675645640591,0.0009006071650161651,0.12244323303958465,0.504950495049505,0.8876404494382022,0.20353982300884957,202,0.4405940594059406
M25D25,25,25,72,1,0,1,0,-1,1,270.0,-270.0,False,0,16,0.1415645608727965,0.14420046264747877,0.14513695030387075,-0.0009364876563919822,0.3133932054599244,0.6683168316831684,0.9491525423728814,0.27380952380952384,202,0.5841584158415841
M25D25,25,25,72,1,1,1,1,0,0,0.0,0.0,True,8,8,0.3057993310412042,0.3149060857577536,0.32211550820580337,-0.007209422448049785,0.6483083153329867,0.8267326732673267,0.9491525423728814,0.6547619047619048,202,0.5841584158415841
M25D25,25,25,72,1,2,1,2,1,1,270.0,270.0,False,12,4,0.07706794385744593,0.06979011679340708,0.09113330943159925,-0.021343192638192177,0.10737480970003602,0.599009900990099,0.9661016949152542,0.08333333333333333,202,0.5841584158415841
M25D25,25,25,72,1,3,1,3,2,2,450.0,450.0,False,11,0,0.02469158734648841,0.027139211176296807,0.025756101985085933,0.001383109191210874,0.03467467532185321,0.5841584158415841,0.9661016949152542,0.047619047619047616,202,0.5841584158415841
M25D25,25,25,73,1,0,1,0,-1,1,270.0,-270.0,False,0,16,0.24028971235957078,0.255936846670724,0.20737829286161014,0.04855855380911389,0.356770447581704,0.7821782178217822,0.7966101694915254,0.68,202,0.8762376237623762
M25D25,25,25,73,1,1,1,1,0,0,0.0,0.0,True,8,8,0.26747870696882875,0.2819967919859534,0.23362209174896154,0.04837470023699186,0.32726897928141624,0.8217821782178217,0.864406779661017,0.52,202,0.8762376237623762
M25D25,25,25,73,1,2,1,2,1,1,270.0,270.0,False,12,4,0.08112539159546937,0.09048909815075601,0.03657985516642759,0.05390924298432842,,0.8762376237623762,1.0,0.0,202,0.8762376237623762
M25D25,25,25,73,1,3,1,3,2,2,450.0,450.0,False,11,0,0.046183305116855054,0.05353046128267769,0.015853950329703048,0.03767651095297464,0.23039355371915804,0.8811881188118812,0.9887005649717514,0.12,202,0.8762376237623762
M25D25,25,25,76,1,0,1,0,-1,1,270.0,-270.0,False,0,16,0.08642767219219237,0.08083353355800382,0.042681044742247876,0.03815248881575595,-0.01322775449066558,0.48514851485148514,0.5869565217391305,0.4,202,0.45544554455445546
M25D25,25,25,76,1,1,1,1,0,0,0.0,0.0,True,8,8,0.36374887944995926,0.36800307601171434,0.34438388756448546,0.023619188447228878,0.5983209776392979,0.7970297029702971,0.8369565217391305,0.7636363636363637,202,0.45544554455445546
M25D25,25,25,76,1,2,1,2,1,1,270.0,270.0,False,12,4,0.10366239135048312,0.08507934550877061,0.05206667751656202,0.03301266799220859,0.3706206820988833,0.6831683168316832,0.717391304347826,0.6545454545454545,202,0.45544554455445546
M25D25,25,25,76,1,3,1,3,2,2,450.0,450.0,False,11,0,0.01100165902546576,-0.00288248021817461,-0.020541117708905876,0.017658637490731266,0.10521116645893827,0.5148514851485149,0.8478260869565217,0.23636363636363636,202,0.45544554455445546
M25D25,25,25,79,1,0,1,0,-1,1,270.0,-270.0,False,0,16,0.1565029393031254,0.16301236930378626,0.14321358779809445,0.01979878150569181,0.29019372455606235,0.7079207920792079,0.7916666666666666,0.5,202,0.7128712871287128
M25D25,25,25,79,1,1,1,1,0,0,0.0,0.0,True,8,8,0.2960792463723484,0.31208833144987813,0.26739084608710484,0.04469748536277329,0.5749784492768515,0.7871287128712872,0.75,0.8793103448275862,202,0.7128712871287128
M25D25,25,25,79,1,2,1,2,1,1,270.0,270.0,False,12,4,0.07973923384252363,0.08521629639355888,0.062342053309717205,0.022874243083841672,0.27903589279743024,0.7178217821782178,0.8333333333333334,0.43103448275862066,202,0.7128712871287128
M25D25,25,25,79,1,3,1,3,2,2,450.0,450.0,False,11,0,0.036838120745414024,0.03513154757527637,0.025248233068655312,0.009883314506621055,-0.06346477588219923,0.7029702970297029,0.9861111111111112,0.0,202,0.7128712871287128
M25D25,25,25,80,1,0,1,0,-1,1,270.0,-270.0,False,0,16,0.06404065175252022,0.06672726892468406,0.06474690683171536,0.0019803620929687016,0.6397360342647336,0.900990099009901,0.9520958083832335,0.6571428571428571,202,0.8267326732673267
M25D25,25,25,80,1,1,1,1,0,0,0.0,0.0,True,8,8,0.08700403765870926,0.08793002064159217,0.09120354211859705,-0.0032735214770048815,0.5607782897873801,0.8613861386138614,0.8922155688622755,0.7142857142857143,202,0.8267326732673267
M25D25,25,25,80,1,2,1,2,1,1,270.0,270.0,False,12,4,0.029157761558136285,0.03063713632863707,0.02245560590661755,0.008181530422019523,0.41386235789456777,0.8613861386138614,1.0,0.2,202,0.8267326732673267
M25D25,25,25,80,1,3,1,3,2,2,450.0,450.0,False,11,0,0.016541932250876013,0.017486668927093385,0.006028641999706652,0.011458026927386733,0.41386235789456777,0.8613861386138614,1.0,0.2,202,0.8267326732673267
M25D25,25,25,82,1,0,1,0,-1,1,270.0,-270.0,False,0,16,0.09484190193505589,0.10333708498612393,0.06311700192398884,0.04022008306213509,0.39446622618876204,0.7128712871287128,1.0,0.22666666666666666,202,0.6287128712871287
M25D25,25,25,82,1,1,1,1,0,0,0.0,0.0,True,8,8,0.3085638598031488,0.3006118829441392,0.30924170865797274,-0.008629825713833528,0.6327326089012337,0.8316831683168316,0.9212598425196851,0.68,202,0.6287128712871287
M25D25,25,25,82,1,2,1,2,1,1,270.0,270.0,False,12,4,0.08598984718077657,0.09183611545154391,0.05975387452535674,0.03208224092618717,0.2083951397471483,0.6633663366336634,0.937007874015748,0.2,202,0.6287128712871287
M25D25,25,25,82,1,3,1,3,2,2,450.0,450.0,False,11,0,0.01340266822842091,0.018222939467547494,-0.002777047531326682,0.020999986998874176,0.2073113681979229,0.6534653465346535,1.0,0.06666666666666667,202,0.6287128712871287
M25D25,25,25,83,1,0,1,0,-1,1,270.0,-270.0,False,0,16,0.21885137556786272,0.22393365221709494,0.1995469342227757,0.02438671799431924,0.7361785299112729,0.8910891089108911,0.9432624113475178,0.7704918032786885,202,0.698019801980198
M25D25,25,25,83,1,1,1,1,0,0,0.0,0.0,True,8,8,0.39922066075833956,0.387659174630431,0.4062231733765673,-0.018563998746136345,0.7864166314988532,0.905940594059406,0.9078014184397163,0.9016393442622951,202,0.698019801980198
M25D25,25,25,83,1,2,1,2,1,1,270.0,270.0,False,12,4,0.07227517322525882,0.06988943803556136,0.04965919751496406,0.020230240520597298,0.4740653850333616,0.7821782178217822,0.8581560283687943,0.6065573770491803,202,0.698019801980198
M25D25,25,25,83,1,3,1,3,2,2,450.0,450.0,False,11,0,0.029658622165634106,0.03570092396063196,-0.017631648338174655,0.05333257229880661,0.27341519428562105,0.7326732673267327,0.9432624113475178,0.2459016393442623,202,0.698019801980198
M25D25,25,25,85,1,0,1,0,-1,1,270.0,-270.0,False,0,16,0.04573720643926563,0.04406825790876523,0.03614688571699365,0.00792137219177158,0.3198290151366911,0.6732673267326733,0.9145299145299145,0.3411764705882353,202,0.5792079207920792
M25D25,25,25,85,1,1,1,1,0,0,0.0,0.0,True,8,8,0.08921684067718708,0.0903641258185317,0.08846715836533803,0.0018969674531936764,0.3077393079903036,0.6534653465346535,0.6410256410256411,0.6705882352941176,202,0.5792079207920792
M25D25,25,25,85,1,2,1,2,1,1,270.0,270.0,False,12,4,0.030863539286848353,0.034754128526849226,0.029995575790415896,0.00475855273643333,0.22434449020297886,0.6336633663366337,0.7948717948717948,0.4117647058823529,202,0.5792079207920792
M25D25,25,25,85,1,3,1,3,2,2,450.0,450.0,False,11,0,0.01016097453207766,0.004223544703280013,0.002945025517160027,0.0012785191861199863,0.15615014571808478,0.6039603960396039,0.9829059829059829,0.08235294117647059,202,0.5792079207920792
M25D25,25,25,87,1,0,1,0,-1,1,270.0,-270.0,False,0,16,0.11203421754623695,0.13035809799927134,0.09713865218450957,0.03321944581476177,0.6673999436082741,0.8663366336633663,0.9577464788732394,0.65,202,0.7029702970297029
M25D25,25,25,87,1,1,1,1,0,0,0.0,0.0,True,8,8,0.2660377055144108,0.284691981803039,0.24546522896951362,0.03922675283352539,0.8682626170971148,0.9455445544554455,0.9859154929577465,0.85,202,0.7029702970297029
M25D25,25,25,87,1,2,1,2,1,1,270.0,270.0,False,12,4,0.07511249239546466,0.09236292331361562,0.047241515339693785,0.045121407973921834,0.7284964452261045,0.8861386138613861,1.0,0.6166666666666667,202,0.7029702970297029
M25D25,25,25,87,1,3,1,3,2,2,450.0,450.0,False,11,0,0.03339630950559187,0.04625065642395276,0.0033483399372814526,0.04290231648667131,0.27042399536956657,0.7376237623762376,0.971830985915493,0.18333333333333332,202,0.7029702970297029
M25D25,25,25,88,1,0,1,0,-1,1,270.0,-270.0,False,0,16,0.03448009599140711,0.0342274889220725,0.03237512844826729,0.0018523604738052146,0.14552427683092742,0.599009900990099,1.0,0.03571428571428571,202,0.5841584158415841
M25D25,25,25,88,1,1,1,1,0,0,0.0,0.0,True,8,8,0.06127850315295165,0.060470032003767216,0.060704553776324666,-0.00023452177255745,0.46248443987652227,0.7376237623762376,0.9322033898305084,0.4642857142857143,202,0.5841584158415841
M25D25,25,25,88,1,2,1,2,1,1,270.0,270.0,False,12,4,0.02816205406916723,0.02852583144967258,0.02550865018688475,0.003017181262787827,0.14552427683092742,0.599009900990099,1.0,0.03571428571428571,202,0.5841584158415841
M25D25,25,25,88,1,3,1,3,2,2,450.0,450.0,False,11,0,0.0026032548242726494,-0.0010357611478450934,0.0031375209388844194,-0.004173282086729513,0.1058247179051681,0.599009900990099,0.9491525423728814,0.10714285714285714,202,0.5841584158415841
M25D25,25,25,89,1,0,1,0,-1,1,270.0,-270.0,False,0,16,0.15826050028351374,0.1541139867915602,0.16917068788049672,-0.01505670108893653,0.5441393318934705,0.7920792079207921,0.9847328244274809,0.43661971830985913,202,0.6485148514851485
M25D25,25,25,89,1,1,1,1,0,0,0.0,0.0,True,8,8,0.22437663073165587,0.21594943624654772,0.26114522317096456,-0.045195786924416836,0.6988995708241355,0.8613861386138614,0.9847328244274809,0.6338028169014085,202,0.6485148514851485
M25D25,25,25,89,1,2,1,2,1,1,270.0,270.0,False,12,4,0.12554778873635158,0.13145325618588743,0.12779713284277272,0.0036561233431147144,0.5670522625357403,0.801980198019802,0.9847328244274809,0.4647887323943662,202,0.6485148514851485
M25D25,25,25,89,1,3,1,3,2,2,450.0,450.0,False,11,0,0.01189593039233201,0.01833203151058671,0.0037766522224625954,0.014555379288124115,0.25735830512966296,0.6831683168316832,1.0,0.09859154929577464,202,0.6485148514851485
M25D25,25,25,90,1,0,1,0,-1,1,270.0,-270.0,False,0,16,0.06298375846553031,0.056156202357880436,0.05845931300635643,-0.0023031106484759922,0.5274322153850466,0.900990099009901,1.0,0.3103448275862069,202,0.8564356435643564
M25D25,25,25,90,1,1,1,1,0,0,0.0,0.0,True,8,8,0.07159341636895487,0.06437120351323622,0.07536811894206208,-0.01099691542882586,0.8755106939091589,0.9702970297029703,1.0,0.7931034482758621,202,0.8564356435643564
M25D25,25,25,90,1,2,1,2,1,1,270.0,270.0,False,12,4,0.028147312374347245,0.022129920847927753,0.02131657858794367,0.0008133422599840845,0.46275995155962063,0.8910891089108911,1.0,0.2413793103448276,202,0.8564356435643564
M25D25,25,25,90,1,3,1,3,2,2,450.0,450.0,False,11,0,0.01484735305132131,0.012072783853474767,0.013976224180741736,-0.0019034403272669698,0.46275995155962063,0.8910891089108911,1.0,0.2413793103448276,202,0.8564356435643564
M25D25,25,25,91,1,0,1,0,-1,1,270.0,-270.0,False,0,16,0.051375088890379374,0.06421982636049228,0.039790877391693624,0.02442894896879866,0.44735524206159044,0.7524752475247525,1.0,0.2753623188405797,202,0.6584158415841584
M25D25,25,25,91,1,1,1,1,0,0,0.0,0.0,True,8,8,0.13204471860080189,0.14306605878427292,0.12697294446355634,0.016093114320716584,0.8560184596372419,0.9356435643564357,0.9774436090225563,0.855072463768116,202,0.6584158415841584
M25D25,25,25,91,1,2,1,2,1,1,270.0,270.0,False,12,4,0.07081646103014329,0.08878747717672364,0.05351466442408259,0.03527281275264105,0.8240833723892389,0.9207920792079208,0.9849624060150376,0.7971014492753623,202,0.6584158415841584
M25D25,25,25,91,1,3,1,3,2,2,450.0,450.0,False,11,0,0.01981391660341648,0.02974673571220754,0.008402155758486352,0.021344579953721188,0.36411791664176374,0.7227722772277227,1.0,0.18840579710144928,202,0.6584158415841584
M25D25,25,25,92,1,0,1,0,-1,1,270.0,-270.0,False,0,16,0.031422261620389226,0.028641502953749898,0.030520806788064125,-0.0018793038343142277,0.06730638888467749,0.20297029702970298,1.0,0.024242424242424242,202,0.18316831683168316
M25D25,25,25,92,1,1,1,1,0,0,0.0,0.0,True,8,8,0.042540514109511575,0.04359404696817948,0.039762956978031894,0.0038310899901475848,0.17796813982087598,0.3069306930693069,1.0,0.15151515151515152,202,0.18316831683168316
M25D25,25,25,92,1,2,1,2,1,1,270.0,270.0,False,12,4,0.0051390327071693664,0.006386590702124995,0.0034257895534216543,0.0029608011487033403,0.05814240327790913,0.19801980198019803,1.0,0.01818181818181818,202,0.18316831683168316
M25D25,25,25,92,1,3,1,3,2,2,450.0,450.0,False,11,0,0.0005353258664890781,-0.0019196592302370696,0.0012803221283815835,-0.003199981358618653,0.019881324451196117,0.22772277227722773,0.9459459459459459,0.06666666666666667,202,0.18316831683168316
M25D25,25,25,95,1,0,1,0,-1,1,270.0,-270.0,False,0,16,0.032865441628122605,0.034945111904981396,0.03194761279461211,0.002997499110369284,0.4601811977969804,0.8118811881188119,0.959731543624161,0.39622641509433965,202,0.7376237623762376
M25D25,25,25,95,1,1,1,1,0,0,0.0,0.0,True,8,8,0.07381519269585485,0.07948051040305026,0.07046938428900307,0.009011126114047197,0.6635990008056251,0.8712871287128713,0.9194630872483222,0.7358490566037735,202,0.7376237623762376
M25D25,25,25,95,1,2,1,2,1,1,270.0,270.0,False,12,4,0.02701491988459881,0.03062186741818196,0.023392948515187473,0.007228918902994486,0.3480234497504312,0.7821782178217822,0.9865771812080537,0.20754716981132076,202,0.7376237623762376
M25D25,25,25,95,1,3,1,3,2,2,450.0,450.0,False,11,0,0.008727420424959997,0.010367801958673928,0.004297034170677283,0.006070767787996645,0.021871829112842408,0.7029702970297029,0.9194630872483222,0.09433962264150944,202,0.7376237623762376
M25D25,25,25,169,2,0,2,0,-2,2,540.0,-540.0,False,0,16,0.00421965585895232,0.004736112394049363,0.0037240925997593655,0.0010120197942899978,0.040059123423250936,0.8910891089108911,0.9675675675675676,0.058823529411764705,202,0.9158415841584159
M25D25,25,25,169,2,1,2,1,-1,1,270.0,-270.0,False,8,8,0.007797060478345263,0.008911342562104019,0.003790748816121292,0.005120593745982727,0.15736348478983728,0.7821782178217822,0.8162162162162162,0.4117647058823529,202,0.9158415841584159
M25D25,25,25,169,2,2,2,2,0,0,0.0,0.0,True,12,4,0.010035388485394047,0.010079129224150107,0.012299925260546352,-0.0022207960363962442,0.23268231434476958,0.9207920792079208,1.0,0.058823529411764705,202,0.9158415841584159
M25D25,25,25,169,2,3,2,3,1,1,180.0,180.0,False,11,0,0.00652325435313027,0.0055799893763793795,0.01185171460813439,-0.00627172523175501,0.040059123423250936,0.8910891089108911,0.9675675675675676,0.058823529411764705,202,0.9158415841584159
M25D25,25,25,170,2,0,2,0,-2,2,540.0,-540.0,False,0,16,0.010573402407138666,0.0065010226616025735,0.020366913766320494,-0.01386589110471792,-0.0532702356083918,0.8267326732673267,0.9823529411764705,0.0,202,0.8415841584158416
M25D25,25,25,170,2,1,2,1,-1,1,270.0,-270.0,False,8,8,0.004381332740520549,0.0028771231168386313,0.012801530184096577,-0.009924407067257945,-0.12697590436709041,0.6881188118811881,0.8058823529411765,0.0625,202,0.8415841584158416
M25D25,25,25,170,2,2,2,2,0,0,0.0,0.0,True,12,4,0.012726461749350326,0.010765725092074963,0.0196283594438994,-0.008862634351824439,-0.0936899762129964,0.7970297029702971,0.9470588235294117,0.0,202,0.8415841584158416
M25D25,25,25,170,2,3,2,3,1,1,180.0,180.0,False,11,0,0.01078581720871744,0.01102252025108863,0.008999805471589961,0.002022714779498669,,0.8415841584158416,1.0,0.0,202,0.8415841584158416
M25D25,25,25,172,2,0,2,0,-2,2,540.0,-540.0,False,0,16,0.022640306130805254,0.02265265358673829,0.020216826445830116,0.0024358271409081755,0.2610475456574237,0.8910891089108911,0.9562841530054644,0.2631578947368421,202,0.905940594059406
M25D25,25,25,172,2,1,2,1,-1,1,270.0,-270.0,False,8,8,0.020829212648651417,0.02069472702931341,0.020747031476231137,-5.2304446917728065e-05,0.20775145153307378,0.8712871287128713,0.9344262295081968,0.2631578947368421,202,0.905940594059406
M25D25,25,25,172,2,2,2,2,0,0,0.0,0.0,True,12,4,0.02433783072989083,0.02358511676511743,0.02945836065009455,-0.00587324388497712,0.38105076121646125,0.9207920792079208,1.0,0.15789473684210525,202,0.905940594059406
M25D25,25,25,172,2,3,2,3,1,1,180.0,180.0,False,11,0,0.012370206176627475,0.012567489030199441,0.011314962089326697,0.0012525269408727446,0.4025602807731535,0.9207920792079208,0.9890710382513661,0.2631578947368421,202,0.905940594059406
M25D25,25,25,173,2,0,2,0,-2,2,540.0,-540.0,False,0,16,0.036180139371546925,0.036269646225050134,0.04174632069062567,-0.005476674465575537,0.17227649362469177,0.8613861386138614,0.8606965174129353,1.0,202,0.995049504950495
M25D25,25,25,173,2,1,2,1,-1,1,270.0,-270.0,False,8,8,0.02744730413066886,0.02718422388120345,0.01711129377320275,0.0100729301080007,0.2070768792637412,0.900990099009901,0.900497512437811,1.0,202,0.995049504950495
M25D25,25,25,173,2,2,2,2,0,0,0.0,0.0,True,12,4,0.02880627176731143,0.028624959864408384,0.01932707788939736,0.009297881975011024,0.5744706987722934,0.9900990099009901,0.9900497512437811,1.0,202,0.995049504950495
M25D25,25,25,173,2,3,2,3,1,1,180.0,180.0,False,11,0,0.015404676571839304,0.015089537604131675,0.023362037710195183,-0.008272500106063507,0.3722804729408313,0.9702970297029703,0.9701492537313433,1.0,202,0.995049504950495
M25D25,25,25,174,2,0,2,0,-2,2,540.0,-540.0,False,0,16,0.06446018580346587,0.06553379135128057,,,,1.0,1.0,,202,1.0
M25D25,25,25,174,2,1,2,1,-1,1,270.0,-270.0,False,8,8,0.04881043571091196,0.049905306218473,,,,0.9455445544554455,0.9455445544554455,,202,1.0
M25D25,25,25,174,2,2,2,2,0,0,0.0,0.0,True,12,4,0.043502437193076435,0.04423152063580171,,,,0.995049504950495,0.995049504950495,,202,1.0
M25D25,25,25,174,2,3,2,3,1,1,180.0,180.0,False,11,0,0.025015819954397656,0.02499234463692568,,,,0.9851485148514851,0.9851485148514851,,202,1.0
M25D25,25,25,175,2,0,2,0,-2,2,540.0,-540.0,False,0,16,0.03129990992902455,0.03335793604599946,,,,0.9900990099009901,0.9900990099009901,,202,1.0
M25D25,25,25,175,2,1,2,1,-1,1,270.0,-270.0,False,8,8,0.024885811035379023,0.02698787975356276,,,,0.8663366336633663,0.8663366336633663,,202,1.0
M25D25,25,25,175,2,2,2,2,0,0,0.0,0.0,True,12,4,0.04476525000267305,0.045665298917280994,,,,1.0,1.0,,202,1.0
M25D25,25,25,175,2,3,2,3,1,1,180.0,180.0,False,11,0,0.02644917079294492,0.027979801987176867,,,,0.9653465346534653,0.9653465346534653,,202,1.0
M25D25,25,25,176,2,0,2,0,-2,2,540.0,-540.0,False,0,16,0.024565585481665642,0.02495093598370446,,,,0.9653465346534653,0.9653465346534653,,202,1.0
M25D25,25,25,176,2,1,2,1,-1,1,270.0,-270.0,False,8,8,0.025333083643959343,0.0260175697485856,,,,0.8564356435643564,0.8564356435643564,,202,1.0
M25D25,25,25,176,2,2,2,2,0,0,0.0,0.0,True,12,4,0.034006613526866104,0.03446643512627212,,,,0.995049504950495,0.995049504950495,,202,1.0
M25D25,25,25,176,2,3,2,3,1,1,180.0,180.0,False,11,0,0.013357832220797661,0.013545581498955017,,,,0.9752475247524752,0.9752475247524752,,202,1.0
M25D25,25,25,177,2,0,2,0,-2,2,540.0,-540.0,False,0,16,0.009301232354174804,0.007915447635782003,0.009528584055016553,-0.001613136419234551,0.060513461015911284,0.3811881188118812,0.9722222222222222,0.05384615384615385,202,0.3564356435643564
M25D25,25,25,177,2,1,2,1,-1,1,270.0,-270.0,False,8,8,0.007353223342295457,0.00625273250011249,0.006226547557157347,2.6184942955143065e-05,0.20690398576751592,0.4900990099009901,0.9166666666666666,0.25384615384615383,202,0.3564356435643564
M25D25,25,25,177,2,2,2,2,0,0,0.0,0.0,True,12,4,0.014647387369829545,0.013719403779149486,0.0139093127322365,-0.0001899089530870146,0.2697763963531725,0.5346534653465347,0.9166666666666666,0.3230769230769231,202,0.3564356435643564
M25D25,25,25,177,2,3,2,3,1,1,180.0,180.0,False,11,0,0.0035431056026754004,0.0017877729507485007,0.0023004098261869554,-0.0005126368754384547,0.06887823720910956,0.4207920792079208,0.8888888888888888,0.16153846153846155,202,0.3564356435643564
M25D25,25,25,178,2,0,2,0,-2,2,540.0,-540.0,False,0,16,0.03046221567989943,0.030535098749499556,,,,0.9257425742574258,0.9257425742574258,,202,1.0
M25D25,25,25,178,2,1,2,1,-1,1,270.0,-270.0,False,8,8,0.030587044502970485,0.03021263717359801,,,,0.8762376237623762,0.8762376237623762,,202,1.0
M25D25,25,25,178,2,2,2,2,0,0,0.0,0.0,True,12,4,0.048082760019455675,0.049914024705479454,,,,0.9405940594059405,0.9405940594059405,,202,1.0
M25D25,25,25,178,2,3,2,3,1,1,180.0,180.0,False,11,0,0.04592580126193574,0.04777546444265113,,,,0.9851485148514851,0.9851485148514851,,202,1.0
M25D25,25,25,179,2,0,2,0,-2,2,540.0,-540.0,False,0,16,0.01974930587970406,0.019623971246743643,0.019269214523591982,0.0003547567231516613,0.08681045374885775,0.6633663366336634,0.9849624060150376,0.043478260869565216,202,0.6584158415841584
M25D25,25,25,179,2,1,2,1,-1,1,270.0,-270.0,False,8,8,0.014275201253232695,0.014210992553909896,0.013324963135551537,0.0008860294183583584,0.10525537626681339,0.6435643564356436,0.8646616541353384,0.21739130434782608,202,0.6584158415841584
M25D25,25,25,179,2,2,2,2,0,0,0.0,0.0,True,12,4,0.010388937811519972,0.007756655408507673,0.011616985750400932,-0.003860330341893259,0.1488997346030355,0.6732673267326733,0.9849624060150376,0.07246376811594203,202,0.6584158415841584
M25D25,25,25,179,2,3,2,3,1,1,180.0,180.0,False,11,0,0.010391240110089805,0.011109499926142963,0.00824487043043065,0.002864629495712312,0.3758350529864489,0.7326732673267327,0.9849624060150376,0.2463768115942029,202,0.6584158415841584
M25D25,25,25,180,2,0,2,0,-2,2,540.0,-540.0,False,0,16,0.004865180772074385,-0.023251899365458684,0.004040346100189773,-0.027292245465648457,0.046725656105461914,0.10396039603960396,1.0,0.026881720430107527,202,0.07920792079207921
M25D25,25,25,180,2,1,2,1,-1,1,270.0,-270.0,False,8,8,-0.007621472735116708,-0.03644954871110895,-0.007270425023242044,-0.029179123687866904,-0.084626282876755,0.3613861386138614,0.5,0.34946236559139787,202,0.07920792079207921
M25D25,25,25,180,2,2,2,2,0,0,0.0,0.0,True,12,4,-2.5057511610071525e-05,-0.013157814991852756,-0.002450995302722525,-0.010706819689130231,0.09090752821459919,0.5495049504950495,0.625,0.543010752688172,202,0.07920792079207921
M25D25,25,25,180,2,3,2,3,1,1,180.0,180.0,False,11,0,-0.004878261092818348,-0.01717640324434866,-0.006953608743068607,-0.010222794501280053,0.08606115907895388,0.3118811881188119,0.875,0.26344086021505375,202,0.07920792079207921
M25D25,25,25,181,2,0,2,0,-2,2,540.0,-540.0,False,0,16,0.006091250766718426,0.0014976140284090889,0.004379939593851412,-0.002882325565442323,-0.1519153593398838,0.37623762376237624,0.8271604938271605,0.0743801652892562,202,0.400990099009901
M25D25,25,25,181,2,1,2,1,-1,1,270.0,-270.0,False,8,8,0.002025566632036291,0.0006201487413489692,-0.0039968755694548275,0.004617024310803797,-0.19763449756855953,0.3712871287128713,0.5925925925925926,0.2231404958677686,202,0.400990099009901
