mouse,day,n_cells,agree_frac,var_expl,pc1_enrichment,pc1_dominance,session_passes
22,34,240,0.9917,0.4202,100.8513,4.6313,True
22,37,163,0.9877,0.3057,49.8304,3.924,True
22,35,150,0.9867,0.3774,56.6046,7.0072,True
22,40,315,0.9079,0.2299,72.4167,3.1216,True
27,26,33,0.8788,0.5592,18.453,9.1553,True
27,20,30,0.8667,0.3208,9.6238,3.2479,True
28,17,98,0.7959,0.3572,35.0074,3.1264,True
26,18,89,0.764,0.5182,46.122,10.9669,True
25,24,65,0.7231,0.4793,31.1521,7.957,True
25,20,61,0.7049,0.4025,24.5529,6.6,True
28,16,100,0.7,0.309,30.9034,2.5068,True
29,21,137,0.6277,0.2361,32.339,2.2603,True
29,17,144,0.625,0.2084,30.0143,2.1472,True
29,25,219,0.6119,0.2287,50.0894,2.2221,True
25,25,146,0.6027,0.3238,47.2818,4.1283,True
28,19,125,0.584,0.2625,32.8095,2.2407,True
26,17,22,0.5455,0.3223,7.0917,2.6183,True
25,23,192,0.5104,0.2129,40.8808,2.4624,True
27,23,111,0.5045,0.1978,21.9513,2.6864,True
26,16,47,0.4894,0.2141,10.0638,2.0069,True
22,38,206,0.4466,0.2667,54.9482,4.4606,True
21,19,391,0.4271,0.2778,108.6077,2.2799,True
26,19,344,0.3547,0.1797,61.8208,2.9319,True
20,25,35,0.3429,0.227,7.9442,2.4951,True
27,24,193,0.342,0.1804,34.826,2.9817,True
29,23,159,0.7107,0.2167,34.4596,1.7816,False
27,21,16,0.6875,0.2488,3.9811,1.7446,False
25,18,135,0.6444,0.2563,34.6038,1.5643,False
29,18,158,0.6266,0.1741,27.5012,1.2276,False
29,20,223,0.6143,0.1899,42.3403,1.8998,False
28,22,24,0.5833,0.1705,4.0911,1.3235,False
21,16,231,0.5801,0.2334,53.9258,1.2178,False
29,16,50,0.58,0.2186,10.9278,1.6055,False
25,21,57,0.5789,0.1617,9.2185,1.7691,False
29,19,134,0.5672,0.1998,26.778,1.6988,False
28,18,145,0.5586,0.244,35.3852,1.9238,False
28,20,210,0.5476,0.1878,39.4308,1.5188,False
25,19,55,0.5455,0.2275,12.5121,1.7958,False
28,25,127,0.5433,0.1614,20.5017,1.436,False
25,17,50,0.54,0.2082,10.4112,1.4295,False
20,20,100,0.52,0.0888,8.8822,1.2446,False
21,18,183,0.5191,0.2004,36.6748,1.9053,False
22,39,322,0.5155,0.1151,37.061,1.1047,False
28,23,135,0.5111,0.1902,25.6714,1.5094,False
28,21,21,0.4762,0.2339,4.9117,1.5928,False
26,15,141,0.4752,0.1347,18.9933,1.634,False
21,17,256,0.4609,0.2119,54.2481,1.3812,False
21,26,188,0.3936,0.1604,30.1508,1.4454,False
21,22,140,0.3929,0.1316,18.4264,1.1097,False
25,16,29,0.3793,0.175,5.0759,1.4556,False
27,22,24,0.375,0.1525,3.6605,1.1719,False
21,25,171,0.3743,0.1207,20.6325,1.1734,False
22,36,115,0.3739,0.175,20.1261,1.9753,False
22,41,268,0.3694,0.1282,34.3536,1.4389,False
20,14,198,0.3586,0.1569,31.0712,1.4849,False
20,23,75,0.3333,0.1303,9.7707,1.5128,False
21,15,237,0.3333,0.2191,51.9379,1.3138,False
26,12,148,0.3243,0.1316,19.471,1.5719,False
26,13,97,0.3196,0.1225,11.8835,1.4207,False
21,20,299,0.3043,0.1857,55.5316,1.2379,False
21,21,293,0.3003,0.1706,49.9936,1.5858,False
20,26,150,0.3,0.0922,13.8311,1.4975,False
27,18,36,0.2778,0.196,7.0547,1.8144,False
25,22,179,0.2737,0.1497,26.7976,1.3182,False
21,23,323,0.2539,0.1232,39.8012,1.2711,False
29,22,67,0.2537,0.191,12.8002,1.1436,False
26,11,161,0.2422,0.1332,21.4436,1.4699,False
20,15,65,0.2308,0.1036,6.7364,1.3417,False
26,14,9,0.2222,0.2707,2.4364,1.5809,False
21,24,216,0.2176,0.1095,23.6502,1.5438,False
22,33,155,0.1935,0.1214,18.818,1.157,False
27,19,46,0.1739,0.1274,5.8592,1.3476,False
20,21,107,0.1589,0.0833,8.9095,1.0685,False
20,16,209,0.1579,0.0699,14.6068,1.2539,False
20,18,133,0.1579,0.097,12.8949,1.3154,False
20,19,108,0.1389,0.0847,9.1437,1.2423,False
20,24,81,0.1235,0.0749,6.0663,1.1359,False
20,17,107,0.1121,0.0936,10.0146,1.2983,False
20,22,66,0.0758,0.1177,7.7656,1.4626,False
