baseline,covariate,group1,group2,comparison,pval
Position,GC,cmGC,ncmGC,pairwise (max n),3.939178640140481e-06
Position,GC,cmGC,NGS,pairwise (max n),5.4012120765255705e-45
Position,GC,ncmGC,NGS,pairwise (max n),0.550170007964974
Position,GC,cmGC,zero,vs zero (max n),1.8392134904156229e-31
Position,GC,ncmGC,zero,vs zero (max n),5.890178168718135e-11
Position,GC,NGS,zero,vs zero (max n),1.2431412447976862e-12
Position,NGS,GC,NGS,pairwise (max n),0.0028106569630877588
Position,NGS,GC,zero,vs zero (max n),1.3137894876298538e-09
Position,NGS,NGS,zero,vs zero (max n),1.6064319122731138e-12
Speed,GC,cmGC,ncmGC,pairwise (max n),1.2524722045879404e-06
Speed,GC,cmGC,NGS,pairwise (max n),3.8102996428374933e-56
Speed,GC,ncmGC,NGS,pairwise (max n),0.5380366746347974
Speed,GC,cmGC,zero,vs zero (max n),3.109738850913839e-36
Speed,GC,ncmGC,zero,vs zero (max n),2.7064279476509188e-12
Speed,GC,NGS,zero,vs zero (max n),3.7546237967841515e-14
Speed,NGS,GC,NGS,pairwise (max n),0.003236089864237138
Speed,NGS,GC,zero,vs zero (max n),3.0159592781655745e-11
Speed,NGS,NGS,zero,vs zero (max n),2.820712408730539e-14
LFP,GC,cmGC,ncmGC,pairwise (max n),1.016352901119416e-07
LFP,GC,cmGC,NGS,pairwise (max n),1.9456267701396766e-111
LFP,GC,ncmGC,NGS,pairwise (max n),0.12028521152308762
LFP,GC,cmGC,zero,vs zero (max n),6.69003148922797e-78
LFP,GC,ncmGC,zero,vs zero (max n),1.5986103314296008e-15
LFP,GC,NGS,zero,vs zero (max n),3.3389079945837627e-19
LFP,NGS,GC,NGS,pairwise (max n),0.011264563925884605
LFP,NGS,GC,zero,vs zero (max n),7.598379865134724e-23
LFP,NGS,NGS,zero,vs zero (max n),4.430631486189742e-21
Position + Speed,GC,cmGC,ncmGC,pairwise (max n),5.061641744354196e-06
Position + Speed,GC,cmGC,NGS,pairwise (max n),2.682983451191185e-48
Position + Speed,GC,ncmGC,NGS,pairwise (max n),0.5044404030373852
Position + Speed,GC,cmGC,zero,vs zero (max n),6.721038500890089e-32
Position + Speed,GC,ncmGC,zero,vs zero (max n),2.4370543199535466e-11
Position + Speed,GC,NGS,zero,vs zero (max n),7.420545216495257e-13
Position + Speed,NGS,GC,NGS,pairwise (max n),0.0015754273157554855
Position + Speed,NGS,GC,zero,vs zero (max n),9.593126128090958e-10
Position + Speed,NGS,NGS,zero,vs zero (max n),1.1399788024004427e-12
Position + LFP,GC,cmGC,ncmGC,pairwise (max n),2.3314222127832554e-07
Position + LFP,GC,cmGC,NGS,pairwise (max n),4.887965420914235e-111
Position + LFP,GC,ncmGC,NGS,pairwise (max n),0.10242393605682706
Position + LFP,GC,cmGC,zero,vs zero (max n),1.451507270314558e-66
Position + LFP,GC,ncmGC,zero,vs zero (max n),2.3403464248600136e-12
Position + LFP,GC,NGS,zero,vs zero (max n),9.040140617155543e-15
Position + LFP,NGS,GC,NGS,pairwise (max n),0.02902043956037597
Position + LFP,NGS,GC,zero,vs zero (max n),5.329100143508612e-17
Position + LFP,NGS,NGS,zero,vs zero (max n),1.1128747894061995e-15
Speed + LFP,GC,cmGC,ncmGC,pairwise (max n),7.333088324839134e-08
Speed + LFP,GC,cmGC,NGS,pairwise (max n),1.0110761560369742e-121
Speed + LFP,GC,ncmGC,NGS,pairwise (max n),0.10984125680593128
Speed + LFP,GC,cmGC,zero,vs zero (max n),2.679935766715653e-74
Speed + LFP,GC,ncmGC,zero,vs zero (max n),4.221606403614145e-14
Speed + LFP,GC,NGS,zero,vs zero (max n),6.215448372720351e-17
Speed + LFP,NGS,GC,NGS,pairwise (max n),0.011752754811848098
Speed + LFP,NGS,GC,zero,vs zero (max n),1.2114492995267592e-20
Speed + LFP,NGS,NGS,zero,vs zero (max n),6.811090100399243e-19
Position + Speed + LFP,GC,cmGC,ncmGC,pairwise (max n),2.0568010026679623e-07
Position + Speed + LFP,GC,cmGC,NGS,pairwise (max n),1.1261877475997468e-114
Position + Speed + LFP,GC,ncmGC,NGS,pairwise (max n),0.09653432252585746
Position + Speed + LFP,GC,cmGC,zero,vs zero (max n),3.056737984626829e-66
Position + Speed + LFP,GC,ncmGC,zero,vs zero (max n),3.874459614440996e-12
Position + Speed + LFP,GC,NGS,zero,vs zero (max n),2.2635972527474424e-14
Position + Speed + LFP,NGS,GC,NGS,pairwise (max n),0.02966869664279452
Position + Speed + LFP,NGS,GC,zero,vs zero (max n),1.4916246838592693e-16
Position + Speed + LFP,NGS,NGS,zero,vs zero (max n),2.9929835433183747e-15
