target,target_shank,cov_shank,n_ent,n_par,same,n_cov,pR2,pR2_anch,pR2_nonanch
69,1,0,0,16,False,16,0.128,0.135,0.121
69,1,1,8,8,True,16,0.234,0.231,0.243
69,1,2,12,4,False,16,0.083,0.087,0.071
69,1,3,11,0,False,11,0.027,0.026,0.014
71,1,0,0,16,False,16,0.199,0.187,0.204
71,1,1,8,8,True,16,0.147,0.147,0.147
71,1,2,12,4,False,16,0.072,0.083,0.066
71,1,3,11,0,False,11,0.032,0.034,0.033
72,1,0,0,16,False,16,0.142,0.144,0.145
72,1,1,8,8,True,16,0.306,0.315,0.322
72,1,2,12,4,False,16,0.077,0.07,0.091
72,1,3,11,0,False,11,0.025,0.027,0.026
73,1,0,0,16,False,16,0.24,0.256,0.207
73,1,1,8,8,True,16,0.267,0.282,0.234
73,1,2,12,4,False,16,0.081,0.09,0.037
73,1,3,11,0,False,11,0.046,0.054,0.016
76,1,0,0,16,False,16,0.086,0.081,0.043
76,1,1,8,8,True,16,0.364,0.368,0.344
76,1,2,12,4,False,16,0.104,0.085,0.052
76,1,3,11,0,False,11,0.011,-0.003,-0.021
79,1,0,0,16,False,16,0.157,0.163,0.143
79,1,1,8,8,True,16,0.296,0.312,0.267
79,1,2,12,4,False,16,0.08,0.085,0.062
79,1,3,11,0,False,11,0.037,0.035,0.025
80,1,0,0,16,False,16,0.064,0.067,0.065
80,1,1,8,8,True,16,0.087,0.088,0.091
80,1,2,12,4,False,16,0.029,0.031,0.022
80,1,3,11,0,False,11,0.017,0.017,0.006
82,1,0,0,16,False,16,0.095,0.103,0.063
82,1,1,8,8,True,16,0.309,0.301,0.309
82,1,2,12,4,False,16,0.086,0.092,0.06
82,1,3,11,0,False,11,0.013,0.018,-0.003
83,1,0,0,16,False,16,0.219,0.224,0.2
83,1,1,8,8,True,16,0.399,0.388,0.406
83,1,2,12,4,False,16,0.072,0.07,0.05
83,1,3,11,0,False,11,0.03,0.036,-0.018
85,1,0,0,16,False,16,0.046,0.044,0.036
85,1,1,8,8,True,16,0.089,0.09,0.088
85,1,2,12,4,False,16,0.031,0.035,0.03
85,1,3,11,0,False,11,0.01,0.004,0.003
87,1,0,0,16,False,16,0.112,0.13,0.097
87,1,1,8,8,True,16,0.266,0.285,0.245
87,1,2,12,4,False,16,0.075,0.092,0.047
87,1,3,11,0,False,11,0.033,0.046,0.003
88,1,0,0,16,False,16,0.034,0.034,0.032
88,1,1,8,8,True,16,0.061,0.06,0.061
88,1,2,12,4,False,16,0.028,0.029,0.026
88,1,3,11,0,False,11,0.003,-0.001,0.003
89,1,0,0,16,False,16,0.158,0.154,0.169
89,1,1,8,8,True,16,0.224,0.216,0.261
89,1,2,12,4,False,16,0.126,0.131,0.128
89,1,3,11,0,False,11,0.012,0.018,0.004
90,1,0,0,16,False,16,0.063,0.056,0.058
90,1,1,8,8,True,16,0.072,0.064,0.075
90,1,2,12,4,False,16,0.028,0.022,0.021
90,1,3,11,0,False,11,0.015,0.012,0.014
91,1,0,0,16,False,16,0.051,0.064,0.04
91,1,1,8,8,True,16,0.132,0.143,0.127
91,1,2,12,4,False,16,0.071,0.089,0.054
91,1,3,11,0,False,11,0.02,0.03,0.008
92,1,0,0,16,False,16,0.031,0.029,0.031
92,1,1,8,8,True,16,0.043,0.044,0.04
92,1,2,12,4,False,16,0.005,0.006,0.003
92,1,3,11,0,False,11,0.001,-0.002,0.001
95,1,0,0,16,False,16,0.033,0.035,0.032
95,1,1,8,8,True,16,0.074,0.079,0.07
95,1,2,12,4,False,16,0.027,0.031,0.023
95,1,3,11,0,False,11,0.009,0.01,0.004
169,2,0,0,16,False,16,0.004,0.005,0.004
169,2,1,8,8,False,16,0.008,0.009,0.004
169,2,2,12,4,True,16,0.01,0.01,0.012
169,2,3,11,0,False,11,0.007,0.006,0.012
170,2,0,0,16,False,16,0.011,0.007,0.02
170,2,1,8,8,False,16,0.004,0.003,0.013
170,2,2,12,4,True,16,0.013,0.011,0.02
170,2,3,11,0,False,11,0.011,0.011,0.009
172,2,0,0,16,False,16,0.023,0.023,0.02
172,2,1,8,8,False,16,0.021,0.021,0.021
172,2,2,12,4,True,16,0.024,0.024,0.029
172,2,3,11,0,False,11,0.012,0.013,0.011
173,2,0,0,16,False,16,0.036,0.036,0.042
173,2,1,8,8,False,16,0.027,0.027,0.017
173,2,2,12,4,True,16,0.029,0.029,0.019
173,2,3,11,0,False,11,0.015,0.015,0.023
174,2,0,0,16,False,16,0.064,0.066,
174,2,1,8,8,False,16,0.049,0.05,
174,2,2,12,4,True,16,0.044,0.044,
174,2,3,11,0,False,11,0.025,0.025,
175,2,0,0,16,False,16,0.031,0.033,
175,2,1,8,8,False,16,0.025,0.027,
175,2,2,12,4,True,16,0.045,0.046,
175,2,3,11,0,False,11,0.026,0.028,
176,2,0,0,16,False,16,0.025,0.025,
176,2,1,8,8,False,16,0.025,0.026,
176,2,2,12,4,True,16,0.034,0.034,
176,2,3,11,0,False,11,0.013,0.014,
177,2,0,0,16,False,16,0.009,0.008,0.01
177,2,1,8,8,False,16,0.007,0.006,0.006
177,2,2,12,4,True,16,0.015,0.014,0.014
177,2,3,11,0,False,11,0.004,0.002,0.002
178,2,0,0,16,False,16,0.03,0.031,
178,2,1,8,8,False,16,0.031,0.03,
178,2,2,12,4,True,16,0.048,0.05,
178,2,3,11,0,False,11,0.046,0.048,
179,2,0,0,16,False,16,0.02,0.02,0.019
179,2,1,8,8,False,16,0.014,0.014,0.013
179,2,2,12,4,True,16,0.01,0.008,0.012
179,2,3,11,0,False,11,0.01,0.011,0.008
180,2,0,0,16,False,16,0.005,-0.023,0.004
180,2,1,8,8,False,16,-0.008,-0.036,-0.007
180,2,2,12,4,True,16,-0.0,-0.013,-0.002
180,2,3,11,0,False,11,-0.005,-0.017,-0.007
181,2,0,0,16,False,16,0.006,0.001,0.004
181,2,1,8,8,False,16,0.002,0.001,-0.004
181,2,2,12,4,True,16,0.014,0.009,0.013
181,2,3,11,0,False,11,0.001,-0.006,-0.0
183,2,0,0,16,False,16,0.023,0.022,0.022
183,2,1,8,8,False,16,0.022,0.023,0.015
183,2,2,12,4,True,16,0.039,0.039,0.036
183,2,3,11,0,False,11,0.019,0.018,0.009
185,2,0,0,16,False,16,0.02,0.021,0.018
185,2,1,8,8,False,16,0.018,0.019,0.016
185,2,2,12,4,True,16,0.015,0.015,0.014
185,2,3,11,0,False,11,0.01,0.01,0.009
186,2,0,0,16,False,16,0.043,0.046,0.043
186,2,1,8,8,False,16,0.046,0.053,0.045
186,2,2,12,4,True,16,0.045,0.053,0.046
186,2,3,11,0,False,11,0.039,0.046,0.039
188,2,0,0,16,False,16,0.088,0.09,
188,2,1,8,8,False,16,0.098,0.1,
188,2,2,12,4,True,16,0.063,0.064,
188,2,3,11,0,False,11,0.027,0.028,
189,2,0,0,16,False,16,0.021,0.02,0.028
189,2,1,8,8,False,16,0.015,0.016,0.006
189,2,2,12,4,True,16,0.039,0.038,0.041
189,2,3,11,0,False,11,0.019,0.019,0.026
191,2,0,0,16,False,16,0.01,0.013,0.008
191,2,1,8,8,False,16,0.004,0.005,0.004
191,2,2,12,4,True,16,0.011,0.007,0.014
191,2,3,11,0,False,11,0.005,-0.0,0.007
193,2,0,0,16,False,16,0.024,0.025,0.028
193,2,1,8,8,False,16,0.028,0.032,0.022
193,2,2,12,4,True,16,0.04,0.04,0.037
193,2,3,11,0,False,11,0.016,0.016,0.012
196,2,0,0,16,False,16,0.027,0.032,
196,2,1,8,8,False,16,0.031,0.034,
196,2,2,12,4,True,16,0.041,0.05,
196,2,3,11,0,False,11,0.025,0.028,
197,2,0,0,16,False,16,0.021,0.023,0.014
197,2,1,8,8,False,16,0.026,0.033,0.002
197,2,2,12,4,True,16,0.029,0.033,0.025
197,2,3,11,0,False,11,0.012,0.014,0.005
198,2,0,0,16,False,16,0.06,0.066,
198,2,1,8,8,False,16,0.049,0.054,
198,2,2,12,4,True,16,0.074,0.081,
198,2,3,11,0,False,11,0.056,0.061,
199,2,0,0,16,False,16,0.048,0.044,0.048
199,2,1,8,8,False,16,0.043,0.041,0.036
199,2,2,12,4,True,16,0.022,0.019,0.026
199,2,3,11,0,False,11,0.019,0.016,0.018
202,2,0,0,16,False,16,0.017,0.015,0.011
202,2,1,8,8,False,16,0.018,0.016,0.015
202,2,2,12,4,True,16,0.021,0.019,0.016
202,2,3,11,0,False,11,0.003,0.001,0.001
203,2,0,0,16,False,16,0.02,0.029,0.007
203,2,1,8,8,False,16,0.022,0.03,0.01
203,2,2,12,4,True,16,0.043,0.049,0.035
203,2,3,11,0,False,11,0.017,0.024,0.008
204,2,0,0,16,False,16,0.016,0.022,0.016
204,2,1,8,8,False,16,0.016,0.016,0.016
204,2,2,12,4,True,16,0.009,0.014,0.008
204,2,3,11,0,False,11,0.004,0.003,0.005
205,2,0,0,16,False,16,0.024,0.024,0.021
205,2,1,8,8,False,16,0.011,0.013,0.006
205,2,2,12,4,True,16,0.025,0.024,0.028
205,2,3,11,0,False,11,0.008,0.007,0.005
206,2,0,0,16,False,16,0.037,0.036,0.039
206,2,1,8,8,False,16,0.035,0.039,0.037
206,2,2,12,4,True,16,0.044,0.045,0.044
206,2,3,11,0,False,11,0.015,0.016,0.012
207,2,0,0,16,False,16,0.032,0.032,0.035
207,2,1,8,8,False,16,0.016,0.016,0.018
207,2,2,12,4,True,16,0.017,0.017,0.018
207,2,3,11,0,False,11,0.015,0.013,0.018
209,2,0,0,16,False,16,0.021,0.019,0.02
209,2,1,8,8,False,16,0.015,0.016,0.003
209,2,2,12,4,True,16,0.025,0.026,0.026
209,2,3,11,0,False,11,0.014,0.014,0.009
210,2,0,0,16,False,16,0.05,0.041,0.089
210,2,1,8,8,False,16,0.038,0.029,-0.017
210,2,2,12,4,True,16,0.075,0.071,0.098
210,2,3,11,0,False,11,0.039,0.036,0.115
211,2,0,0,16,False,16,0.043,0.037,0.033
211,2,1,8,8,False,16,0.021,0.015,0.015
211,2,2,12,4,True,16,0.016,0.013,0.016
211,2,3,11,0,False,11,0.02,0.014,0.016
214,2,0,0,16,False,16,0.05,0.047,0.054
214,2,1,8,8,False,16,0.069,0.07,0.072
214,2,2,12,4,True,16,0.07,0.067,0.066
214,2,3,11,0,False,11,0.015,0.02,0.002
215,2,0,0,16,False,16,0.045,0.047,0.033
215,2,1,8,8,False,16,0.094,0.093,0.082
215,2,2,12,4,True,16,0.053,0.049,0.046
215,2,3,11,0,False,11,0.013,0.017,-0.0
217,2,0,0,16,False,16,0.009,0.009,0.016
217,2,1,8,8,False,16,0.011,0.01,0.014
217,2,2,12,4,True,16,0.02,0.019,0.011
217,2,3,11,0,False,11,0.007,0.006,0.004
219,2,0,0,16,False,16,0.056,0.053,0.044
219,2,1,8,8,False,16,0.062,0.061,0.052
219,2,2,12,4,True,16,0.064,0.062,0.054
219,2,3,11,0,False,11,0.006,0.007,0.003
224,2,0,0,16,False,16,0.039,0.042,-0.004
224,2,1,8,8,False,16,0.036,0.039,-0.062
224,2,2,12,4,True,16,0.042,0.045,0.006
224,2,3,11,0,False,11,0.025,0.026,-0.004
280,3,0,0,16,False,16,0.014,0.01,0.013
280,3,1,8,8,False,16,0.009,0.007,0.009
